Hair brittleness:Mild-Moderate Loss,Inadequate Vitamin Intake (Zinc) NI 5.9.1,E60 Dietary Zinc Deficiency
Hair brittleness:Severe Loss,Inadequate Vitamin Intake (Zinc) NI 5.9.1,E60 Dietary Zinc Deficiency
Hair pluckability:Mild-Moderate Loss,Inadequate Vitamin Intake (Zinc) NI 5.9.1,E60 Dietary Zinc Deficiency
Hair pluckability:Severe Loss,Inadequate Vitamin Intake (Zinc) NI 5.9.1,E60 Dietary Zinc Deficiency
Temporalis muscle wasting:Mild-Moderate Loss,Inadequate protein intake NI-5.7.1,E44.0 Moderate protein-calorie malnutrition
Temporalis muscle wasting:Severe Loss,Inadequate protein intake NI-5.7.1,E43 Unspecified Severe Protein-Calorie Malnutrition
Orbital sockets:Slightly hollow above cheekbones and some darkening,Inadequate energy intake NI-1.2,E44.0 Moderate protein-calorie malnutrition
"Orbital sockets:Severely hollow and depressed, loose skin, dark circles",Inadequate energy intake NI-1.2,E43 Unspecified Severe Protein-Calorie Malnutrition
Tongue bright red color:Yes,Inadequate Vitamin Intake (B12) NI 5.9.1,E53.8 Deficiency of other specified B group vitamins
Tongue smooth texture:Yes,Inadequate Vitamin Intake (B12) NI 5.9.1,E53.8 Deficiency of other specified B group vitamins
Teeth:Mild-Moderate chewing impairement,Biting/Chewing Difficulty NC 1.2,E44.0 Moderate protein-calorie malnutrition
Teeth:Unable to chew,Biting/Chewing Difficulty NC 1.2,E43 Unspecified Severe Protein-Calorie Malnutrition
Throat:Mild-Moderate dysphagia,Swallowing Difficulty NC 1.1,E44.0 Moderate protein-calorie malnutrition
Throat:Unable to Swallow,Swallowing Difficulty NC 1.1,E43 Unspecified Severe Protein-Calorie Malnutrition
Clavicle:Visible or protruding clavicle,Inadequate protein intake NI-5.7.1,E44.0 Moderate protein-calorie malnutrition
"Clavicle:Clavicle and acromion process visible or protruding, concave depression",Inadequate protein intake NI-5.7.1,E43 Unspecified Severe Protein-Calorie Malnutrition
Scapular to Hips:Mild depression above and below scapula and iliac crest,Inadequate energy intake NI-1.2,E44.0 Moderate protein-calorie malnutrition
"Scapular to Hips:Prominent depression scapular, between ribs, and iliac region",Inadequate energy intake NI-1.2,E43 Unspecified Severe Protein-Calorie Malnutrition
